time-0              cntrlvar-21         cntrlvar-22         cntrlvar-23         cntrlvar-150        cntrlvar-176        cntrlvar-276        rktpow-0            cntrlvar-833        pmpvel-113          pmpvel-209          httemp-336000117    httemp-336000217    httemp-336000317    httemp-336000417    httemp-336000517    httemp-336000617    httemp-336000717    httemp-336000817    httemp-336000917    httemp-336001017    httemp-336001117    httemp-336001217    p-150010000         p-180010000         p-280010000         tempf-330010000     tempf-340010000     tempg-330010000     tempf-100010000     tempf-270060000     tempf-114010000     tempf-210010000     mflowj-100010000    mflowj-200010000    mflowj-181000000    mflowj-281000000    mflowj-183000000    mflowj-283000000    mflowj-473000000    mflowj-475000000    mflowj-506000000    mflowj-507000000    mflowj-508000000    mflowj-509000000    mflowj-155000000    mflowj-157000000    mflowj-187000000    mflowj-287000000    mflowj-196000000    mflowj-198000000    mflowj-296000000    mflowj-298000000    acvliq-190          acvliq-290          cntrlvar-500        cntrlvar-502        cntrlvar-504         
25115.06            4.076388            2.75933             5.537359            7.222425e-05        3.810111            3.94739             26870500.0          0.0                 0.0                 0.0                 478.5506            479.4211            481.7404            482.9818            484.3081            485.571             486.798             488.051             488.5718            489.6346            488.2843            488.5371            2399356.0           1500866.0           1670018.0           475.2467            487.3144            496.0027            487.4254            476.6035            474.7525            475.5976            381.9681            133.7905            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170747            0.3901988           0.0                 0.0                 0.0                 0.0                 16.23797            5.959211            0.0                 0.0                 0.0                 0.0                 39.28547            13.02047            0.0                 2.592282            1.560945             
25120.06            4.076386            2.759403            5.537366            7.371905e-05        3.807348            3.857509            26868990.0          0.0                 0.0                 0.0                 478.5057            479.3766            481.6922            482.9319            484.2561            485.5169            486.7419            487.9927            488.5132            489.5746            488.2282            488.4814            2399048.0           1507602.0           1660565.0           475.2036            487.2665            495.9962            487.3864            476.3279            474.6554            475.7287            383.9792            133.1548            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170746            0.3901368           0.0                 0.0                 0.0                 0.0                 0.0                 5.928923            0.0                 0.0                 0.0                 0.0                 39.27246            13.01613            0.0                 3.179561            1.560883             
25125.06            4.076384            2.759541            5.537369            7.282255e-05        3.78482             3.615916            26867490.0          0.0                 0.0                 0.0                 478.4599            479.3317            481.6455            482.8841            484.2068            485.4658            486.6889            487.9377            488.4571            489.5169            488.1723            488.4255            2398900.0           1520785.0           1652671.0           475.156             487.2161            495.9916            487.3438            476.0969            474.56              475.8604            381.6718            132.465             0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170766            0.3900819           0.0                 0.0                 0.0                 0.0                 0.0                 5.903097            0.0                 0.0                 0.0                 0.0                 39.26123            13.01232            0.0                 2.086214            1.560848             
25130.06            4.076382            2.759484            5.53737             7.39772e-05         3.791951            3.832235            26865980.0          0.0                 0.0                 0.0                 478.4102            479.2839            481.597             482.8354            484.1573            485.415             486.6366            487.8837            488.4021            489.4602            488.1168            488.3693            2398459.0           1531144.0           1646227.0           475.1038            487.1639            495.9821            487.2985            475.9077            474.4663            475.9922            386.7985            131.5739            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170731            0.3900087           0.0                 0.0                 0.0                 0.0                 0.0                 5.882362            0.0                 0.0                 0.0                 0.0                 39.25547            13.01041            0.0                 3.342118            1.560739             
25135.06            4.076381            2.759717            5.53737             7.498456e-05        3.796327            3.904427            26864470.0          0.0                 0.0                 0.0                 478.3584            479.2342            481.548             482.7869            484.1087            485.3659            486.5865            487.8323            488.3495            489.4061            488.0626            488.3146            2397808.0           1540218.0           1640406.0           475.0468            487.1108            495.9799            487.2505            475.7363            474.3746            476.1234            388.2437            130.9455            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170778            0.3899639           0.0                 0.0                 0.0                 0.0                 0.0                 5.863461            0.0                 0.0                 0.0                 0.0                 39.24583            13.00716            0.0                 0.0                 1.560742             
25140.06            4.076381            2.759506            5.53737             8.016359e-05        3.793601            3.886852            26862970.0          0.0                 0.0                 0.0                 478.2943            479.1725            481.484             482.7238            484.0459            485.3032            486.5237            487.7686            488.2868            489.3423            488.0042            488.2556            2397408.0           1549264.0           1633906.0           474.9847            487.0569            495.9682            487.2013            475.5443            474.2852            476.2527            396.6035            129.827             0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.17071             0.3898822           0.0                 0.0                 0.0                 0.0                 0.0                 5.842343            0.0                 0.0                 0.0                 0.0                 39.23257            13.0027             0.0                 4.023556            1.560592             
25145.06            4.076382            2.759386            5.53737             7.918446e-05        3.799476            3.828729            26861460.0          0.0                 0.0                 0.0                 478.237             479.1179            481.4326            482.6736            483.9966            485.2544            486.4749            487.7198            488.2367            489.2917            487.9507            488.2021            2397066.0           1558418.0           1627627.0           474.917             487.0026            495.9592            487.1514            475.3582            474.1987            476.3787            389.9781            129.0554            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170675            0.3896062           0.0                 0.0                 0.0                 0.0                 0.0                 5.823183            0.0                 0.0                 0.0                 0.0                 39.22569            13.00035            0.0                 1.121693            1.560281             
25150.06            4.076385            2.759616            5.53737             7.892257e-05        3.798347            3.766654            26859960.0          0.0                 0.0                 0.0                 478.1699            479.0546            481.3714            482.6146            483.9391            485.1979            486.4191            487.6642            488.1814            489.236             487.896             488.1466            2396932.0           1567026.0           1622527.0           474.843             486.9482            495.9616            487.0995            475.2067            474.1167            476.4986            390.1409            127.9095            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170767            0.3889566           0.0                 0.0                 0.0                 0.0                 0.0                 5.808536            0.0                 0.0                 0.0                 0.0                 39.21544            12.99697            0.0                 3.68082             1.559724             
25155.06            4.076387            2.759391            5.53737             7.770953e-05        3.7987              3.724831            26858460.0          0.0                 0.0                 0.0                 478.106             478.9956            481.3194            482.5658            483.8929            485.1536            486.3759            487.6218            488.1379            489.1924            487.8472            488.097             2396696.0           1575265.0           1617245.0           474.7636            486.8942            495.9521            487.0471            475.0494            474.041             476.6096            389.966             126.9097            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170717            0.3882206           0.0                 0.0                 0.0                 0.0                 0.0                 5.792176            0.0                 0.0                 0.0                 0.0                 39.21112            12.99548            0.0                 2.380819            1.558938             
25160.06            4.076392            2.759478            5.53737             7.598345e-05        3.798863            3.703757            26856950.0          0.0                 0.0                 0.0                 478.036             478.9306            481.2614            482.5121            483.843             485.1064            486.3309            487.5783            488.0941            489.1491            487.8               488.0487            2396637.0           1583188.0           1611364.0           474.6815            486.8416            495.9522            486.994             474.8738            473.9745            476.709             389.6755            125.859             0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170772            0.3876413           0.0                 0.0                 0.0                 0.0                 0.0                 5.774864            0.0                 0.0                 0.0                 0.0                 39.20273            12.99264            0.0                 2.0582              1.558414             
