time-0              cntrlvar-21         cntrlvar-22         cntrlvar-23         cntrlvar-150        cntrlvar-176        cntrlvar-276        rktpow-0            cntrlvar-833        pmpvel-113          pmpvel-209          httemp-336000117    httemp-336000217    httemp-336000317    httemp-336000417    httemp-336000517    httemp-336000617    httemp-336000717    httemp-336000817    httemp-336000917    httemp-336001017    httemp-336001117    httemp-336001217    p-150010000         p-180010000         p-280010000         tempf-330010000     tempf-340010000     tempg-330010000     tempf-100010000     tempf-270060000     tempf-114010000     tempf-210010000     mflowj-100010000    mflowj-200010000    mflowj-181000000    mflowj-281000000    mflowj-183000000    mflowj-283000000    mflowj-473000000    mflowj-475000000    mflowj-506000000    mflowj-507000000    mflowj-508000000    mflowj-509000000    mflowj-155000000    mflowj-157000000    mflowj-187000000    mflowj-287000000    mflowj-196000000    mflowj-198000000    mflowj-296000000    mflowj-298000000    acvliq-190          acvliq-290          cntrlvar-500        cntrlvar-502        cntrlvar-504         
50.0136             4.076632            3.81945             5.53737             8.855646            12.19999            12.19999            3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.736             613.141             616.2538            619.4061            618.5817            620.8289            611.4597            611.6299            15471580.0          6700000.0           6700000.0           570.802             603.3779            619.1732            603.2817            556.1522            570.6623            571.265             12436.3             4356.206            1324.404            455.7786            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
55.0313             4.076632            3.81945             5.53737             8.855706            12.19999            12.19999            3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.736             613.141             616.2538            619.406             618.5817            620.8288            611.4597            611.6299            15471480.0          6700001.0           6700000.0           570.802             603.3779            619.1726            603.2817            556.1522            570.6623            571.265             12436.29            4356.205            1324.404            455.7786            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
60.01464            4.076632            3.81945             5.53737             8.855764            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.736             613.141             616.2538            619.4059            618.5817            620.8287            611.4597            611.6299            15471380.0          6700001.0           6700000.0           570.802             603.3779            619.1721            603.2816            556.1522            570.6623            571.265             12436.29            4356.204            1324.404            455.7785            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
65.03234            4.076632            3.81945             5.53737             8.855824            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.736             613.1409            616.2538            619.4059            618.5817            620.8286            611.4597            611.6299            15471280.0          6700000.0           6700000.0           570.802             603.3779            619.1716            603.2816            556.1522            570.6623            571.265             12436.29            4356.203            1324.404            455.7785            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
70.01568            4.076632            3.81945             5.53737             8.855881            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.736             613.1409            616.2538            619.4058            618.5817            620.8284            611.4596            611.6299            15471170.0          6700000.0           6700000.0           570.802             603.3779            619.1711            603.2816            556.1522            570.6623            571.265             12436.28            4356.202            1324.404            455.7785            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
75.03339            4.076632            3.81945             5.53737             8.855939            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.7359            613.1409            616.2537            619.4058            618.5816            620.8283            611.4596            611.6298            15471070.0          6700000.0           6700000.0           570.802             603.3778            619.1705            603.2816            556.1522            570.6623            571.265             12436.28            4356.2              1324.404            455.7785            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
80.01672            4.076632            3.81945             5.53737             8.855996            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.7359            613.1409            616.2537            619.4057            618.5816            620.8282            611.4595            611.6298            15470970.0          6700000.0           6700000.0           570.8021            603.3778            619.17              603.2816            556.1522            570.6623            571.265             12436.28            4356.199            1324.404            455.7785            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
85.00006            4.076632            3.81945             5.53737             8.856053            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.7359            613.1409            616.2537            619.4056            618.5816            620.8281            611.4595            611.6298            15470860.0          6700000.0           6700000.0           570.8021            603.3778            619.1695            603.2816            556.1522            570.6623            571.265             12436.27            4356.198            1324.404            455.7785            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
90.01777            4.076632            3.81945             5.53737             8.856112            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1587            591.697             602.3229            605.8349            609.7359            613.1409            616.2537            619.4056            618.5815            620.8279            611.4595            611.6298            15470760.0          6700000.0           6700000.0           570.8021            603.3777            619.1689            603.2815            556.1522            570.6623            571.265             12436.27            4356.196            1324.404            455.7784            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
95.00111            4.076632            3.81945             5.53737             8.856168            12.2                12.2                3250000000.0        0.0                 124.5118            124.5118            589.1588            591.697             602.3229            605.8349            609.7359            613.1409            616.2537            619.4055            618.5815            620.8278            611.4595            611.6298            15470650.0          6700000.0           6700000.0           570.8021            603.3777            619.1685            603.2815            556.1522            570.6623            571.265             12436.27            4356.195            1324.404            455.7784            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 73.2121             24.40403            0.0                 0.0                 0.0                  
