alphanum    numeric       var_tag           figure_tag                       unit       timei      timee
sattemp       1090000       sat_temp_9        sat_tempraction_9                K          0.0        1000.0
sattemp       1100000       sat_temp_10       sat_tempraction_10               K          0.0        1000.0
sattemp       1110000       sat_temp_11       sat_tempraction_11               K          0.0        1000.0
sattemp       1120000       sat_temp_12       sat_tempraction_12               K          0.0        1000.0
sattemp       1130000       sat_temp_13       sat_tempraction_13               K          0.0        1000.0
sattemp       1140000       sat_temp_14       sat_tempraction_14               K          0.0        1000.0
sattemp       1150000       sat_temp_15       sat_tempraction_15               K          0.0        1000.0
sattemp       1160000       sat_temp_16       sat_tempraction_16               K          0.0        1000.0
sattemp       1170000       sat_temp_17       sat_tempraction_17               K          0.0        1000.0
sattemp       1180000       sat_temp_18       sat_tempraction_18               K          0.0        1000.0
sattemp       1190000       sat_temp_19       sat_tempraction_19               K          0.0        1000.0
